Morph,subphylum,class,order,superfamily,family,tribe,genus,subgenus,specificEpithet,Scientific Name,Notes
SBBG-SR_000012,Hexapoda,Insecta,Hemiptera,Pentatomoidea,Thyreocoridae,,,,,,
SBBG-SR_000404,Hexapoda,Insecta,Hemiptera,,,,,,,,
SBBG-SR_000146,Hexapoda,Insecta,Hymenoptera,Chalcidoidea,Aphelinidae,,Aphelinus,,,,
SBBG-SR_000145,Hexapoda,Insecta,Hymenoptera,Ichneumonoidea,Braconidae,,,,,,
SBBG-SR_000470,Hexapoda,Insecta,Hymenoptera,Ichneumonoidea,Braconidae,,,,,,
SBBG-SR_000036,Hexapoda,Insecta,Hymenoptera,Ceraphronoidea,Ceraphronidae,,Aphanogmus,,,,
SBBG-SR_000160,Hexapoda,Insecta,Hymenoptera,Ceraphronoidea,Ceraphronidae,,,,,,
SBBG-SR_000341,Hexapoda,Insecta,Hymenoptera,Ceraphronoidea,Ceraphronidae,,,,,,
SBBG-SR_000037,Hexapoda,Insecta,Hymenoptera,Chrysidoidea,Chrysididae,Chrysidini,Chrysura,,,,
SBBG-SR_000551,Hexapoda,Insecta,Hymenoptera,Chrysidoidea,Chrysididae,Chrysidini,Chrysura,,,,
SBBG-SR_000067,Hexapoda,Insecta,Hymenoptera,Cynipoidea,Cynipidae,,,,,,
SBBG-SR_000088,Hexapoda,Insecta,Hymenoptera,Diaprioidea,Diapriidae,Diapriini,Basalys,,,,
SBBG-SR_000014,Hexapoda,Insecta,Hymenoptera,Chalcidoidea,Encyrtidae,,Aenasius,,,,
SBBG-SR_000030,Hexapoda,Insecta,Hymenoptera,Chalcidoidea,Encyrtidae,Anagyrini,Rhopus,,,,
SBBG-SR_000161,Hexapoda,Insecta,Hymenoptera,Chalcidoidea,Encyrtidae,,,,,,
SBBG-SR_000043,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Camponotini,Camponotus,,cf. semitestaceus,Camponotus cf. semitestaceus,
SBBG-SR_000124,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Camponotini,Camponotus,,,,
SBBG-SR_000140,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Camponotini,Camponotus,,,,
SBBG-SR_000153,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Crematogastrini,Crematogaster,,,,
SBBG-SR_000047,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Formicini,Formica,,moki,Formica moki,
SBBG-SR_000235,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Formicini,Formica,,francoeuri,,
SBBG-SR_000121,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Leptomyrmecini,Linepithema,,humile,Linepithema humile,
SBBG-SR_000003,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Solenopsidini,Monomorium,,,,
SBBG-SR_000004,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Attini,Pheidole,,californica,Pheidole californica,
SBBG-SR_000260,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Attini,Pheidole,,,,
SBBG-SR_000073,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Lasiini,Prenolepsis,,imparis,Prenolepsis imparis,
SBBG-SR_000039,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Solenopsidini,Solenopsis,Diplorhoptrum,,,
SBBG-SR_000070,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Tapinomini,Tapinoma,,sessile,Tapinoma sessile,
SBBG-SR_000624,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,,,,,,
SBBG-SR_000645,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,Solenopsidini,,,,,
SBBG-SR_000656,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,,,,,,
SBBG-SR_000657,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,,,,,,
SBBG-SR_000658,Hexapoda,Insecta,Hymenoptera,Formicoidea,Formicidae,,,,,,
SBBG-SR_000034,Hexapoda,Insecta,Hymenoptera,Chalcidoidea,Mymaridae,,Gonatocerus,,,,
SBBG-SR_000103,Hexapoda,Insecta,Hymenoptera,Chalcidoidea,Mymaridae,,Gonatocerus,,,,
SBBG-SR_000580,Hexapoda,Insecta,Hymenoptera,Chalcidoidea,Mymaridae,,,,,,
SBBG-SR_000150,Hexapoda,Insecta,Hymenoptera,Platygastroidea,Platygastridae,,,,,,
SBBG-SR_000138,Hexapoda,Insecta,Hymenoptera,Vespoidea,Pompilidae,Pompilini,Anoplius,,,,
SBBG-SR_000552,Hexapoda,Insecta,Hymenoptera,Vespoidea,Pompilidae,Pompilini,,,,,
SBBG-SR_000035,Hexapoda,Insecta,Hymenoptera,Platygastroidea,Scelionidae,,Exon,,,,
SBBG-SR_000049,Hexapoda,Insecta,Hymenoptera,Platygastroidea,Scelionidae,,,,,,
SBBG-SR_000113,Hexapoda,Insecta,Hymenoptera,Platygastroidea,Scelionidae,,,,,,
SBBG-SR_000375,Hexapoda,Insecta,Hymenoptera,,,,,,,,
SBBG-SR_000531,Hexapoda,Insecta,Hymenoptera,,,,,,,,
SBBG-SR_000554,Hexapoda,Insecta,Hymenoptera,,,,,,,,
SBBG-SR_000625,Hexapoda,Insecta,Hymenoptera,,,,,,,,
SBBG-SR_000136,Hexapoda,Insecta,Lepidoptera,Gelechioidea,Blastobasidae,,,,,,
SBBG-SR_000051,Hexapoda,Insecta,Lepidoptera,Gelechioidea,Cosmopterigidae,,,,,,
SBBG-SR_000066,Hexapoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,,,,,,
SBBG-SR_000080,Hexapoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,,,,
SBBG-SR_000057,Hexapoda,Insecta,Lepidoptera,Noctuoidea,Noctuidae,,,,,,
SBBG-SR_000137,Hexapoda,Insecta,Lepidoptera,Pyraloidea,Pyralidae,,,,,,
SBBG-SR_000570,Hexapoda,Insecta,Lepidoptera,,,,,,,,
SBBG-SR_000087,Hexapoda,Insecta,Orthoptera,Acridoidea,Acrididae,,,,,,
SBBG-SR_000084,Hexapoda,Insecta,Psocodea,,Liposcelididae,,Liposcelis,,,,
SBBG-SR_000085,Hexapoda,Insecta,Psocodea,,Liposcelididae,,Liposcelis,,,,
SBBG-SR_000282,Hexapoda,Insecta,Psocodea,,Trogiidae,,Cerobasis,,,,
SBBG-SR_000022,Hexapoda,Insecta,Thysanoptera,,Aeolothripidae,,Aeolothrips,,,,
SBBG-SR_000020,Hexapoda,Insecta,Thysanoptera,,Thripidae,,,,,,
SBBG-SR_000021,Hexapoda,Insecta,Thysanoptera,,Thripidae,,,,,,
SBBG-SR_000023,Hexapoda,Insecta,Thysanoptera,,,,,,,,
SBBG-SR_000078,Hexapoda,Insecta,Zygentoma,,Lepismatidae,,,,,,
SBBG-SR_000206,Hexapoda,Insecta,,,,,,,,,
SBBG-SR_000416,Hexapoda,Insecta,,,,,,,,,
SBBG-SR_000429,Hexapoda,Insecta,,,,,,,,,
SBBG-SR_000432,Hexapoda,Insecta,,,,,,,,,
SBBG-SR_000048,Crustacea,Malacostraca,Isopoda,,Armadillidiidae,,Armadillidium,,vulgare,,
SBBG-SR_000119,Crustacea,Malacostraca,Isopoda,,Porcellionidae,,Porcellio,,laevis,Porcellio laevis,
SBBG-SR_000224,Hexapoda,,,,,,,,,,
SBBG-SR_000571,,,,,,,,,,,
